task,model,n_items_or_problems,behavioural_accuracy,real_alignment_mean,shuffle_alignment_mean,alignment_gain,alignment_z,real_exceeds_all_50_shuffles
"ARC-Challenge validation, four-choice",qwen,96,0.78125,0.0570487417280674,0.0421467587351799,0.0149019829928874,3.2083307328941757,True
"ARC-Challenge validation, four-choice",llama,96,0.3333333333333333,0.1242424845695495,0.0723754899948835,0.051866994574666,5.23051290168102,True
"ARC-Challenge validation, four-choice",gemma,96,0.7708333333333334,0.097057819366455,0.0430792103335261,0.0539786090329289,7.836193999599198,True
controlled lexical-category task,qwen,64,0.84375,0.061679046601057,0.0421862027049064,0.0194928438961505,5.274318062038646,True
controlled lexical-category task,llama,64,0.4114583333333333,0.1242148578166961,0.0728632839024066,0.0513515739142894,6.562778131785317,True
controlled lexical-category task,gemma,64,0.9427083333333334,0.0972601249814033,0.0426006752252578,0.0546594497561454,6.2618163763133925,True
controlled addition task,qwen,64,0.6119791666666666,0.0680597797036171,0.0422347558662295,0.0258250238373875,5.417234244898792,True
controlled addition task,llama,64,0.3151041666666667,0.1239844337105751,0.073567519262433,0.050416914448142,5.272064854709856,True
controlled addition task,gemma,64,0.5260416666666666,0.0972486957907676,0.0419248372688889,0.0553238585218787,6.034836978179598,True
