shuffle_id,chord_alignment,detour_ratio,turning_curvature
0,0.04302212968468666,10.974961280822754,2.1083574295043945
1,0.04171329364180565,12.02086353302002,2.1427178382873535
2,0.03627557307481766,11.288399696350098,2.1342484951019287
3,0.053976401686668396,11.461029052734375,2.0882012844085693
4,0.0552620030939579,10.774798393249512,2.0996909141540527
5,0.03293439373373985,9.867751121520996,1.9289939403533936
6,0.036525797098875046,10.438440322875977,2.0643038749694824
7,0.04670596122741699,11.526761054992676,2.182605743408203
8,0.039112284779548645,10.851242065429688,2.092362642288208
9,0.04755323752760887,11.150317192077637,2.0975911617279053
10,0.0504685640335083,10.364767074584961,2.0744495391845703
11,0.03722100332379341,9.974655151367188,1.993523359298706
12,0.042082611471414566,10.642836570739746,2.04729962348938
13,0.051890186965465546,10.744124412536621,2.103733777999878
14,0.035705190151929855,10.634679794311523,2.051482677459717
15,0.037789080291986465,12.401947975158691,2.175828456878662
16,0.04508466273546219,11.558121681213379,2.1807734966278076
17,0.044056687504053116,11.007783889770508,2.1181681156158447
18,0.03878050670027733,9.820798873901367,1.9976270198822021
19,0.04768089950084686,11.086625099182129,2.048135757446289
20,0.04163758084177971,11.444952011108398,2.2292144298553467
21,0.04254041984677315,12.697614669799805,2.159472942352295
22,0.04492330551147461,12.545409202575684,2.2209863662719727
23,0.04859032481908798,10.76888370513916,2.05423641204834
24,0.03695932403206825,10.625919342041016,2.140507936477661
25,0.04143796116113663,11.828595161437988,2.1917481422424316
26,0.03713538497686386,10.97121524810791,2.0225300788879395
27,0.03576536104083061,11.745464324951172,2.1115314960479736
28,0.04374849051237106,11.277124404907227,2.1162068843841553
29,0.04750688001513481,11.296006202697754,2.107483386993408
30,0.03798879310488701,11.830097198486328,2.1925368309020996
31,0.0341099351644516,10.37182331085205,2.0461783409118652
32,0.03272363916039467,11.506013870239258,2.2094192504882812
33,0.037534698843955994,10.455605506896973,2.0777647495269775
34,0.05446210876107216,10.934157371520996,2.0609381198883057
35,0.03709661588072777,11.362589836120605,2.101536750793457
36,0.04238200932741165,11.386834144592285,2.178736925125122
37,0.03386635705828667,12.516697883605957,2.1499953269958496
38,0.04541994258761406,11.616717338562012,2.242384433746338
39,0.03678213804960251,10.98530101776123,2.074096918106079
40,0.03200555220246315,11.150948524475098,2.0744082927703857
41,0.028069501742720604,11.935391426086426,2.1393020153045654
42,0.03840548172593117,11.333077430725098,2.1232995986938477
43,0.048013947904109955,11.50975513458252,2.178112268447876
44,0.04202776774764061,11.374411582946777,2.108623504638672
45,0.04408588260412216,10.93686294555664,2.1363377571105957
46,0.05385882779955864,10.065075874328613,2.0264968872070312
47,0.041237372905015945,12.292783737182617,2.141643762588501
48,0.03298165276646614,10.39383316040039,2.0270721912384033
49,0.05302967131137848,10.600736618041992,2.0822439193725586
