prompt_id,graph_id,chord_alignment,detour_ratio,turning_curvature
ng10_exception_override,10,0.0793845,3.3977568,1.7160797
ng11_clean,11,0.07729053,3.602234,1.7214129
ng11_permuted,11,0.077385895,3.6201587,1.7222669
ng11_redundant,11,0.079428,3.5195937,1.7188691
ng11_irrelevant,11,0.078687705,3.562566,1.718962
ng11_weak_distractor,11,0.07825941,3.5896091,1.7179128
ng11_competition_balanced,11,0.07950011,3.5573838,1.720984
ng11_direct_conflict,11,0.080482036,3.5668375,1.7198927
ng11_closure_update,11,0.08110675,3.4750867,1.7185725
ng11_closure_override,11,0.0811907,3.5056098,1.7194328
ng11_exception_override,11,0.08205118,3.450345,1.714354
ng12_clean,12,0.0772503,3.5189807,1.7231891
ng12_permuted,12,0.07689176,3.5818365,1.7272586
ng12_redundant,12,0.07697777,3.5308797,1.7221341
ng12_irrelevant,12,0.077698655,3.497339,1.723896
ng12_weak_distractor,12,0.07851675,3.481777,1.7169781
ng12_competition_balanced,12,0.07878055,3.4184494,1.7252322
ng12_direct_conflict,12,0.0782071,3.4372733,1.7218446
ng12_closure_update,12,0.07826484,3.3828342,1.7244004
ng12_closure_override,12,0.078407526,3.397112,1.7234095
ng12_exception_override,12,0.07824096,3.4233034,1.7199731
ng13_clean,13,0.082291305,3.4331794,1.7214959
ng13_permuted,13,0.08158945,3.4317815,1.722976
ng13_redundant,13,0.083073564,3.3987944,1.7215655
ng13_irrelevant,13,0.082363695,3.433817,1.7226746
ng13_weak_distractor,13,0.08168245,3.4435549,1.7177721
ng13_competition_balanced,13,0.081780136,3.4093103,1.7283416
ng13_direct_conflict,13,0.081996776,3.4197867,1.7223418
ng13_closure_update,13,0.08244973,3.3444104,1.7231193
ng13_closure_override,13,0.08213347,3.362979,1.7205068
ng13_exception_override,13,0.08300362,3.337331,1.7166524
ng14_clean,14,0.077725746,3.531169,1.7262557
ng14_permuted,14,0.07631982,3.554228,1.732579
ng14_redundant,14,0.07811758,3.4915466,1.725022
ng14_irrelevant,14,0.078123674,3.5099123,1.7282819
ng14_weak_distractor,14,0.0776044,3.5233252,1.7219188
