shuffle_id,chord_alignment,detour_ratio,turning_curvature
0,-0.0023812646977603436,25.0541934967041,2.0597386360168457
1,0.009642255492508411,29.63690948486328,2.065823554992676
2,0.011313245631754398,23.462831497192383,1.9963680505752563
3,0.01615041121840477,29.641569137573242,2.083550214767456
4,0.016823431476950645,34.76156234741211,2.215697765350342
5,0.04762731492519379,30.595293045043945,2.146745443344116
6,0.02062356472015381,31.023365020751953,2.0916640758514404
7,0.029921257868409157,29.362274169921875,2.115115165710449
8,0.02947654016315937,33.9746208190918,2.1595218181610107
9,0.02678789384663105,26.20781707763672,1.997991919517517
10,0.0411706417798996,31.453210830688477,2.1691932678222656
11,0.030633755028247833,35.11600875854492,2.242224931716919
12,-0.002205854980275035,31.98509979248047,2.1829466819763184
13,-0.0005988084012642503,27.24030303955078,2.040879249572754
14,0.017671985551714897,26.903343200683594,2.138624668121338
15,-0.0013608519220724702,26.69326400756836,2.0257279872894287
16,0.007435603067278862,32.73770523071289,2.0233428478240967
17,-0.004293669480830431,25.28570556640625,2.089482069015503
18,0.025234205648303032,30.861955642700195,2.1403088569641113
19,0.019897928461432457,31.393634796142578,2.149684429168701
20,0.03322700038552284,27.216800689697266,2.2755300998687744
21,-0.007816623896360397,32.19258117675781,2.1386795043945312
22,0.03787478432059288,25.048120498657227,2.0479116439819336
23,0.030304262414574623,25.984851837158203,1.9549545049667358
24,0.05446801707148552,30.154748916625977,2.034755229949951
25,0.025165515020489693,26.041683197021484,2.0374577045440674
26,0.0389707088470459,29.720998764038086,2.0512609481811523
27,0.019967051222920418,33.76702117919922,2.1031033992767334
28,0.017486024647951126,31.865873336791992,2.15206241607666
29,0.033546652644872665,34.6522216796875,2.1421432495117188
30,0.04567465931177139,28.386091232299805,2.12819504737854
31,0.04631052166223526,29.056705474853516,2.0820469856262207
32,-0.0054514529183506966,28.205928802490234,2.119804620742798
33,0.007787283044308424,26.41144371032715,2.154294729232788
34,0.01383071206510067,31.54587745666504,2.149949312210083
35,0.045226115733385086,31.386756896972656,2.0987322330474854
36,-0.004466473590582609,31.73867416381836,2.0936076641082764
37,0.04393381252884865,25.432056427001953,2.1108062267303467
38,0.05231710895895958,24.07250213623047,2.044376850128174
39,0.021681802347302437,29.97058868408203,2.072321891784668
40,-0.016516035422682762,26.069196701049805,2.013587474822998
41,0.04074405878782272,28.497533798217773,2.022968053817749
42,0.032728370279073715,26.403432846069336,2.1224422454833984
43,0.024913934990763664,23.86130714416504,1.999481439590454
44,0.047981224954128265,28.575082778930664,2.0084726810455322
45,0.023116229102015495,28.045345306396484,2.091670036315918
46,0.03558353707194328,30.517553329467773,2.057433605194092
47,0.030648456886410713,29.13567543029785,2.0761466026306152
48,0.034146130084991455,31.69786834716797,2.123408317565918
49,0.058410149067640305,27.185726165771484,2.010999917984009
