control,closure_n,closure_crossings,closure_crossing_rate,closure_crossing_ci95_low,closure_crossing_ci95_high,closure_mean_margin_shift,closure_median_margin_shift,closure_max_final_margin,closure_mean_DeltaU_shift,nonclosure_pair_flip_rate,nonclosure_mean_abs_margin_shift,margin_specificity,mean_norm_ratio,max_norm_ratio,all_finite,nonzero_action_rate,max_action_rate
none,87,0,0.0,0.0,0.04228899535014795,-0.0008979885057471264,0.0,-1.609375,-0.0015579393540305652,0.0,0.00354064039408867,-0.004438628899835796,1.0,1.0,True,,
same_combo_fixed,87,0,0.0,0.0,0.04228899535014795,2.580639367816092,2.53125,-0.390625,3.3263041315407587,0.17733990147783252,0.9995381773399015,1.5811011904761905,0.961774678065859,1.0020992755889893,True,,
policy_fixed_global,87,0,0.0,0.0,0.04228899535014795,-0.0008979885057471264,0.0,-1.609375,-0.0015579393540305652,0.0,0.00354064039408867,-0.004438628899835796,1.0,1.0,True,0.0,0.0
policy_boundary,87,19,0.21839080459770116,0.14450701870548616,0.31609253039976964,4.043283045977011,4.140625,1.421875,7.776565370888545,0.034482758620689655,0.46567118226600984,3.5776118637110015,0.9770260823184046,1.118080496788025,True,0.3351724137931035,0.11241379310344828
policy_boundary_guarded,87,17,0.19540229885057472,0.12573278124165055,0.29083407799464656,3.9538433908045976,4.03125,1.421875,7.600633029280038,0.0,0.00354064039408867,3.950302750410509,0.9771552686855711,1.0764451026916504,True,0.2868965517241379,0.09379310344827586
shuffle_boundary_labels,87,12,0.13793103448275862,0.08069698827736069,0.22578814628653956,3.46246408045977,3.59375,1.40625,5.527803849899906,0.3694581280788177,1.7441502463054188,1.7183138341543513,0.9374488017476839,1.0814054012298584,True,0.8455172413793104,0.22827586206896552
