layer,mechanism,n_train,pca_dim,pca_var_sum,train_r2_znext,train_flat_corr_znext
8,stable,268,128,0.9937660098075867,0.345927894115448,0.9807116179724749
8,closure,201,128,0.9937660098075867,0.3378371596336365,0.9748103871604568
9,stable,268,128,0.9913145899772644,0.4400910437107086,0.9818543332575154
9,closure,201,128,0.9913145899772644,0.46828576922416687,0.9784928623099485
10,stable,268,128,0.9874906539916992,0.469494104385376,0.9723762730680379
10,closure,201,128,0.9874906539916992,0.46202826499938965,0.9540870881725373
11,stable,268,128,0.9856292605400085,0.5786389112472534,0.9838571920275822
11,closure,201,128,0.9856292605400085,0.5932533740997314,0.9767036694796801
