layer,target,coef_norm,valid,train_r2,train_corr
10,DeltaU,1.7878235578536987,True,0.686511218547821,0.8418502622762251
10,D_B,0.20191854238510132,True,0.5294408798217773,0.7467681064167112
11,DeltaU,1.7103904485702515,True,0.7988464832305908,0.9019338392557833
11,D_B,0.2030787467956543,True,0.6658284664154053,0.8285211404701532
12,DeltaU,1.586835503578186,True,0.8276060819625854,0.9151791562282484
12,D_B,0.19497095048427582,True,0.7020080089569092,0.8472254605916807
8,DeltaU,1.869024634361267,True,0.5720899105072021,0.7802775776127322
8,D_B,0.19063617289066315,True,0.40776538848876953,0.663178904505667
9,DeltaU,1.811597228050232,True,0.6424301862716675,0.8176384497398128
9,D_B,0.19189108908176422,True,0.4600304961204529,0.6979567042832873
