layer,target,coef_norm,valid,train_r2,train_corr
17,DeltaU,8.373100280761719,True,0.9562762975692749,0.978305260982114
17,D_B,1.4170023202896118,True,0.9106706380844116,0.9579603015911451
18,DeltaU,7.583979606628418,True,0.9648727178573608,0.9825497490269495
18,D_B,1.2726116180419922,True,0.9286447763442993,0.9658929247604158
19,DeltaU,6.531752586364746,True,0.9709364771842957,0.9855065908503252
19,D_B,1.0818147659301758,True,0.9398455619812012,0.9705556731078523
15,DeltaU,9.844015121459961,True,0.9343293309211731,0.9674418059944585
15,D_B,1.6075233221054077,True,0.8405463695526123,0.9242128977499062
16,DeltaU,8.579920768737793,True,0.9505575299263,0.9754244834708454
16,D_B,1.492175817489624,True,0.8942922949790955,0.9504223526189672
