shuffle_labels,shuffle_id,train_accuracy,train_macro_f1,n_rows,model
False,0,0.928955223880597,0.924397935113522,3350,qwen
False,0,0.9257462686567164,0.9265237396375978,2680,llama
False,0,0.8223880597014925,0.8271697916940708,3350,gemma
