control,target_abs_shift,nontarget_abs_shift,specificity,target_signed_shift,nontarget_signed_shift,target_hit_rate,nontarget_hit_rate,n
answer,9.917932954327814,9.851355919109777,0.06657703521803704,9.917932954327814,9.851355919109777,0.39080459770114945,0.9901477832512315,290
none,0.03617152400400447,0.028922421591622487,0.00724910241238198,0.002494861339700633,-0.004622193980099532,0.3563218390804598,0.9901477832512315,290
operator_only_fixed,11.039897463787561,8.2583746581242,2.7815228056633607,9.428319037645712,6.614791980517909,0.41379310344827586,1.0,290
precursor_only_fixed,1.0010922037321945,1.1779160523062269,-0.17682384857403233,1.0010922037321945,1.1779160523062269,0.3563218390804598,0.9901477832512315,290
random_gain_combo,5.896932629333145,5.517053333996552,0.37987929533659326,-0.10891670468209803,1.0822110082128364,0.3448275862068966,0.9802955665024631,290
real_predmech_policy,10.988199502572247,0.9423500704647872,10.04584943210746,9.424538267069849,0.4562076065927891,0.42528735632183906,0.9901477832512315,290
same_combo_fixed,11.444439942809357,9.024789380322536,2.4196505624868205,10.211356491878115,7.6696455138070245,0.42528735632183906,1.0,290
shuffle_both_000,5.929715841666035,8.671319933360433,-2.7416040916943976,3.259120179318834,5.965267294146157,0.3333333333333333,0.9852216748768473,290
shuffle_both_001,9.364826273644107,5.024614902552713,4.340211371091394,5.592056203162533,2.64213837778627,0.3793103448275862,0.9950738916256158,290
shuffle_both_002,8.140128480977026,6.395614628721341,1.7445138522556851,7.204870635065539,2.0411543493787643,0.40229885057471265,0.9852216748768473,290
shuffle_both_003,7.7127122714601715,7.40289776900719,0.3098145024529817,4.6652174160398285,4.214666850461161,0.3793103448275862,0.9950738916256158,290
shuffle_both_004,8.332020282745361,8.201238794279803,0.13078148846555848,5.635930373750884,5.435311601666982,0.39080459770114945,0.9852216748768473,290
shuffle_both_005,8.021371874315985,7.805943676990829,0.2154281973251564,4.09396445614168,4.2323660874014415,0.3333333333333333,0.9950738916256158,290
shuffle_both_006,8.085558458306323,5.04929234828855,3.036266110017773,6.794091942666591,1.479247027430041,0.40229885057471265,0.9950738916256158,290
shuffle_both_007,7.197558233107643,8.115272639420231,-0.9177144063125882,4.499708597687469,4.466491614656495,0.39080459770114945,1.0,290
shuffle_both_008,5.613806083284575,8.362118429738313,-2.748312346453738,-0.33414890574312756,3.9013957319588495,0.3448275862068966,0.9802955665024631,290
shuffle_both_009,7.735444644401813,6.186560896229861,1.548883748171952,5.974203827737392,0.5375911754927611,0.42528735632183906,0.9852216748768473,290
shuffle_both_010,9.271304574506036,9.112805481614737,0.15849909289129904,3.775183858542607,6.960947851829341,0.3333333333333333,0.9802955665024631,290
shuffle_both_011,10.271194978692066,4.5211414609636575,5.750053517728408,3.9900942122799226,0.5520912931470449,0.3563218390804598,0.9950738916256158,290
shuffle_both_012,8.116083808328913,6.605430826177738,1.510652982151175,0.02581906044620207,3.0526467661552243,0.3448275862068966,0.9901477832512315,290
shuffle_both_013,6.586846373547083,8.269100546249614,-1.6822541727025317,5.142372449239095,5.3473135473692945,0.39080459770114945,0.9852216748768473,290
shuffle_both_014,8.932975500479511,7.23149601226957,1.7014794882099409,7.388508582937306,3.248563259105964,0.4482758620689655,0.9852216748768473,290
shuffle_both_015,5.973368441921541,7.323491963259692,-1.3501235213381513,2.508380369208325,4.697444227528689,0.39080459770114945,0.9950738916256158,290
shuffle_both_016,7.911045606108917,7.933687834904112,-0.02264222879519462,4.930902771566106,5.960589399478706,0.3793103448275862,0.9950738916256158,290
shuffle_both_017,6.09111159423302,7.834841911428668,-1.7437303171956477,-0.3093044291967633,5.3164937672356665,0.367816091954023,0.9852216748768473,290
shuffle_both_018,4.5325256490159305,7.777684993931812,-3.2451593449158818,3.15651457885216,5.693852140398448,0.3793103448275862,0.9901477832512315,290
shuffle_both_019,8.811738830873336,6.85437214433266,1.9573666865406762,4.528686572765482,3.0931317677051564,0.42528735632183906,0.9950738916256158,290
shuffle_both_020,6.459237827651802,6.833669833949047,-0.37443200629724505,-0.36924440559299515,1.298912652020384,0.40229885057471265,0.9802955665024631,290
shuffle_both_021,3.330250268694998,8.836924961635045,-5.506674692940047,0.3328055677742794,5.911442733163317,0.3448275862068966,0.9950738916256158,290
shuffle_both_022,4.70413972043443,6.92425272617434,-2.2201130057399103,2.9425481489334984,0.5898823855545721,0.367816091954023,0.9852216748768473,290
shuffle_both_023,5.969194045012024,10.083411771088398,-4.114217726076374,3.332425364132585,6.387433169510564,0.39080459770114945,0.9901477832512315,290
shuffle_both_024,5.888865388672928,9.961527166695431,-4.072661778022503,5.033690830756878,7.332552092415946,0.39080459770114945,0.9802955665024631,290
shuffle_both_025,7.91693788835372,7.224417247208469,0.6925206411452516,1.0833208862392383,2.0144755006423725,0.3448275862068966,0.9950738916256158,290
shuffle_both_026,3.868019175255436,8.143313234075537,-4.275294058820101,0.633710406292444,4.811485779109259,0.40229885057471265,0.9950738916256158,290
shuffle_both_027,9.110112721892609,8.59693192026298,0.5131808016296286,8.182006391985663,5.305653889190975,0.367816091954023,0.9901477832512315,290
shuffle_both_028,3.707388932677521,11.303849123968867,-7.596460191291346,2.55359856835727,9.13583863779829,0.39080459770114945,0.9901477832512315,290
shuffle_both_029,6.925599366769023,8.337275110442063,-1.4116757436730394,3.276309183274192,5.84873056176848,0.3793103448275862,0.9901477832512315,290
shuffle_both_030,10.116716784992438,8.357646188125235,1.7590705968672022,8.663617950746383,5.270351318303,0.42528735632183906,0.9901477832512315,290
shuffle_both_031,6.177155872871136,7.358903417446343,-1.1817475445752068,0.6355962808104767,2.653693652505358,0.3793103448275862,0.9852216748768473,290
shuffle_both_032,9.515554477428568,5.8124484640036895,3.703106013424878,7.068888636841171,4.316382332975642,0.42528735632183906,0.9901477832512315,290
shuffle_both_033,4.207847534925088,7.823467879459776,-3.6156203445346877,1.216197074144736,2.6766378468480605,0.3793103448275862,0.9950738916256158,290
shuffle_both_034,4.731706219157953,8.078245682082153,-3.3465394629242002,2.7912844022115073,3.5695374470038956,0.40229885057471265,1.0,290
shuffle_both_035,4.659163540807263,9.313218985872316,-4.654055445065053,2.5967649810615625,6.0632065082418505,0.367816091954023,0.9901477832512315,290
shuffle_both_036,5.431503345226419,8.730848108019147,-3.299344762792728,1.0462682603419513,3.948906454546698,0.3793103448275862,0.9852216748768473,290
shuffle_both_037,7.11439751482558,7.89680254753,-0.7824050327044203,3.7207513184382996,4.961411689889842,0.39080459770114945,0.9852216748768473,290
shuffle_both_038,5.089259640923862,10.404068568657184,-5.314808927733322,3.4362666141027693,7.173413429354212,0.41379310344827586,0.9950738916256158,290
