shuffle_policy_labels,shuffle_id,n_train_rows,n_classes,train_accuracy,train_macro_f1,class_counts,model
False,0,3350,4,0.9307462686567164,0.7022818509921167,"{'a0.0_b0.0': 2310, 'a0.3_b0.3': 1005, 'a0.0_b0.3': 30, 'a0.1_b0.1': 5}",qwen
False,0,2680,8,0.6421641791044777,0.5335726554164664,"{'a0.0_b0.0': 1468, 'a0.3_b0.3': 708, 'a0.1_b0.1': 192, 'a0.0_b0.3': 160, 'a0.3_b0.0': 68, 'a0.3_b0.2': 40, 'a0.2_b0.3': 40, 'a0.2_b0.2': 4}",llama
False,0,3350,7,0.8349253731343284,0.7082582187205754,"{'a0.0_b0.0': 2310, 'a0.3_b0.3': 810, 'a0.0_b0.3': 190, 'a0.2_b0.2': 20, 'a0.2_b0.3': 10, 'a0.3_b0.0': 5, 'a0.3_b0.2': 5}",gemma
