control,target_abs_shift,nontarget_abs_shift,specificity,target_signed_shift,nontarget_signed_shift,target_hit_rate,nontarget_hit_rate,n
answer,1.1387189585587074,1.05450250303804,0.08421645552066748,1.1387189585587074,1.05450250303804,0.0,0.3694581280788177,290
none,0.008014903671440038,0.005177956496553468,0.00283694717488657,-0.0015656098552133846,0.00019575046201057621,0.0,0.3399014778325123,290
operator_only_fixed,3.0817633524708365,1.9576099535514568,1.1241533989193797,3.06926608633721,1.8202627016405755,0.0,0.5123152709359606,290
precursor_only_fixed,0.3060551457021428,0.1576264973344474,0.14842864836769543,0.3060551457021428,0.10673192921530437,0.0,0.35960591133004927,290
random_gain_combo,1.4655877255845344,0.9182384730559852,0.5473492525285493,1.3905694018835308,0.7303370677778873,0.0,0.39408866995073893,290
real_predmech_policy,3.164827852413572,0.15416257545865816,3.010665276954914,3.1593575107640235,0.11304455966197799,0.0,0.3448275862068966,290
same_combo_fixed,3.3310880318455314,2.0260278056995036,1.3050602261460278,3.3256176901959824,1.8664651521908238,0.0,0.5172413793103449,290
shuffle_both_000,1.0901686076460213,1.0802284825611583,0.009940125084862972,1.0126292130042767,0.7944022117577163,0.0,0.39408866995073893,290
shuffle_both_001,1.8629673938641602,0.7474340781789696,1.1155333156851905,1.8074252920589229,0.13999283959712888,0.0,0.3497536945812808,290
shuffle_both_002,1.038481993236761,1.0415023723846586,-0.003020379147897545,0.9440413795668503,0.8799568819882247,0.0,0.43842364532019706,290
shuffle_both_003,1.8507720519756448,1.3159238194009941,0.5348482325746506,1.8210252948190975,0.9693981009751118,0.0,0.42857142857142855,290
shuffle_both_004,2.1696071131476042,0.9788410728200904,1.1907660403275138,2.116670252262861,0.3865099370185965,0.0,0.35467980295566504,290
shuffle_both_005,1.4716776719038513,1.4281465179227255,0.043531153981125836,1.4586604340323086,1.2395770203303822,0.0,0.4433497536945813,290
shuffle_both_006,1.6103366955943492,0.9995193775064253,0.6108173180879239,1.4917116795463123,0.8480599102715554,0.0,0.4433497536945813,290
shuffle_both_007,1.7285293272171898,0.9305751306082815,0.7979541966089083,1.5675019614997951,0.35971908675038755,0.0,0.3448275862068966,290
shuffle_both_008,0.8964683817720961,1.108920967050374,-0.21245258527827782,0.8883570747813959,0.755639198965627,0.0,0.4039408866995074,290
shuffle_both_009,2.458833140888433,0.845444215342329,1.6133889255461042,2.4386215374387543,0.6510574441825228,0.0,0.3793103448275862,290
shuffle_both_010,1.729877048525317,0.9785643252245898,0.7513127233007272,1.6097093436909817,0.6390055241843162,0.0,0.39901477832512317,290
shuffle_both_011,1.7869022933916114,1.218923119488608,0.5679791739030033,1.6173682733513843,1.0033088065133307,0.0,0.4187192118226601,290
shuffle_both_012,1.3094439081762028,1.3484253296123936,-0.038981421436190766,1.2873032079345879,1.1437276913027459,0.0,0.4433497536945813,290
shuffle_both_013,1.679551524677496,0.8202439893055432,0.8593075353719527,1.6636208336928795,0.1949363800105203,0.0,0.3448275862068966,290
shuffle_both_014,2.2732304978644713,0.8891818300256589,1.3840486678388124,2.220383961995443,0.22168474479261877,0.0,0.3497536945812808,290
shuffle_both_015,0.7763764255348293,1.0123102506393282,-0.2359338251044989,0.656922644582288,0.3361526997805816,0.0,0.3891625615763547,290
shuffle_both_016,1.4640010787152695,1.197016516342539,0.2669845623727305,1.4619481796505807,0.8208902633836117,0.011494252873563218,0.45320197044334976,290
