control,target_abs_shift,nontarget_abs_shift,specificity,target_signed_shift,nontarget_signed_shift,target_hit_rate,nontarget_hit_rate,n
answer,0.34903979301452637,0.3519995836128155,-0.002959790598289158,0.34903979301452637,0.3519995836128155,0.6091954022988506,0.8669950738916257,290
none,0.0020190582707010464,0.0008839787594203291,0.0011350795112807172,0.00020675729403550597,0.0002578299107222722,0.4827586206896552,0.7339901477832512,290
operator_only_fixed,0.29091785693990774,0.2813674217374454,0.009550435202462348,0.2195796269452435,-0.20510963750590244,0.5517241379310345,0.6502463054187192,290
precursor_only_fixed,0.04138580204426557,0.048674599951123956,-0.007288797906858387,0.04129193911607238,0.048674599951123956,0.4942528735632184,0.7586206896551724,290
random_gain_combo,0.1892264123106825,0.16398642388323845,0.025239988427444043,0.1441426839807938,-0.12602988021273917,0.5172413793103449,0.6748768472906403,290
real_predmech_policy,0.2959703257542917,0.07660038750893965,0.21936993824535206,0.2698730794691491,-0.008064489389581634,0.5747126436781609,0.729064039408867,290
same_combo_fixed,0.3189723005239991,0.26009538501794705,0.05887691550605206,0.2689109835131415,-0.15208999647442342,0.5747126436781609,0.6600985221674877,290
shuffle_both_000,0.16635604887858205,0.16571809982724964,0.0006379490513324093,0.13469442022942948,-0.08484792078069865,0.5057471264367817,0.7044334975369458,290
shuffle_both_001,0.19696461409330368,0.14543562885282074,0.05152898524048294,0.17341901353378406,-0.055339317677056264,0.5287356321839081,0.7142857142857143,290
shuffle_both_002,0.17956556799425477,0.1741069107146686,0.005458657279586165,0.14788638132399526,-0.08257782896017206,0.5402298850574713,0.6798029556650246,290
shuffle_both_003,0.17759127640861205,0.16385216548525053,0.013739110923361525,0.1384183156421815,-0.07545605022919002,0.5287356321839081,0.7044334975369458,290
shuffle_both_004,0.2413797453045845,0.18437360704238778,0.05700613826219672,0.2238457359630486,-0.0986773289483169,0.5747126436781609,0.6847290640394089,290
shuffle_both_005,0.18718661230871048,0.1514142393478619,0.035772372960848564,0.1602793025901948,-0.07289923066869745,0.5517241379310345,0.6995073891625616,290
shuffle_both_006,0.2195971287016211,0.1770460657371676,0.04255106296445349,0.1869811015738838,-0.08981621614083868,0.5517241379310345,0.6995073891625616,290
shuffle_both_007,0.1995930395078385,0.1474472405801853,0.0521457989276532,0.1601360545590006,-0.05264822856105607,0.5402298850574713,0.7142857142857143,290
shuffle_both_008,0.2274134565016319,0.14195959886600232,0.08545385763562957,0.16456702951042132,-0.02407328916594313,0.5287356321839081,0.7339901477832512,290
shuffle_both_009,0.17929910808459096,0.1944749538460976,-0.015175845761506629,0.13289799823843199,-0.10956066211896577,0.5172413793103449,0.6699507389162561,290
