prompt_id,layer,alpha,beta,policy_conf,action_label,fraction,model
g000_clean,15,0.0,0.0,0.956669307933344,a0.0_b0.0,0.000689655172413793,qwen
g000_clean,16,0.0,0.0,0.9546503145107202,a0.0_b0.0,0.000689655172413793,qwen
g000_clean,17,0.0,0.0,0.9624864377709088,a0.0_b0.0,0.000689655172413793,qwen
g000_clean,18,0.0,0.0,0.9829743764044814,a0.0_b0.0,0.000689655172413793,qwen
g000_clean,19,0.0,0.0,0.9829743764044814,a0.0_b0.0,0.000689655172413793,qwen
g000_redundant,15,0.0,0.0,0.8567105955843859,a0.0_b0.0,0.000689655172413793,qwen
g000_redundant,16,0.0,0.0,0.8717461041890712,a0.0_b0.0,0.000689655172413793,qwen
g000_redundant,17,0.0,0.0,0.879702877800229,a0.0_b0.0,0.000689655172413793,qwen
g000_redundant,18,0.0,0.0,0.7660273966266314,a0.0_b0.0,0.000689655172413793,qwen
g000_redundant,19,0.0,0.0,0.8769318991419016,a0.0_b0.0,0.000689655172413793,qwen
g000_irrelevant,15,0.0,0.0,0.7395406848490315,a0.0_b0.0,0.000689655172413793,qwen
g000_irrelevant,16,0.0,0.0,0.7661583188198083,a0.0_b0.0,0.000689655172413793,qwen
g000_irrelevant,17,0.0,0.0,0.7508934517104876,a0.0_b0.0,0.000689655172413793,qwen
g000_irrelevant,18,0.0,0.0,0.7404713955507185,a0.0_b0.0,0.000689655172413793,qwen
g000_irrelevant,19,0.0,0.0,0.7237064022236772,a0.0_b0.0,0.000689655172413793,qwen
g000_paraphrase,15,0.0,0.0,0.8425670086668013,a0.0_b0.0,0.000689655172413793,qwen
g000_paraphrase,16,0.0,0.0,0.8707669247977792,a0.0_b0.0,0.000689655172413793,qwen
g000_paraphrase,17,0.0,0.0,0.8755175089096956,a0.0_b0.0,0.000689655172413793,qwen
g000_paraphrase,18,0.0,0.0,0.8749284860985469,a0.0_b0.0,0.000689655172413793,qwen
g000_paraphrase,19,0.0,0.0,0.8677565747344929,a0.0_b0.0,0.000689655172413793,qwen
g000_weak_distractor,15,0.0,0.3,0.5397758188383576,a0.0_b0.3,0.000689655172413793,qwen
g000_weak_distractor,16,0.0,0.0,0.5061930886710208,a0.0_b0.0,0.000689655172413793,qwen
g000_weak_distractor,17,0.0,0.0,0.5817785798966346,a0.0_b0.0,0.000689655172413793,qwen
g000_weak_distractor,18,0.0,0.0,0.6408108342083119,a0.0_b0.0,0.000689655172413793,qwen
g000_weak_distractor,19,0.0,0.0,0.6005755103539838,a0.0_b0.0,0.000689655172413793,qwen
g000_competition_balanced,15,0.0,0.0,0.930773384556606,a0.0_b0.0,0.000689655172413793,qwen
g000_competition_balanced,16,0.0,0.0,0.9119457164968092,a0.0_b0.0,0.000689655172413793,qwen
g000_competition_balanced,17,0.0,0.0,0.9125533596699908,a0.0_b0.0,0.000689655172413793,qwen
g000_competition_balanced,18,0.0,0.0,0.8595502216030043,a0.0_b0.0,0.000689655172413793,qwen
