model_key,best_deltaU_feature_set,best_deltaU_corr,best_deltaU_r2,best_mechanism_feature_set,best_mechanism_f1,correction_only_best_corr,rotation_only_best_corr,correction_rotation_corr,band_auc_rotation,band_auc_correction_low,competition_auc_rotation,stable_auc_correction,closure_auc_correction,correction_rotation_beats_each_alone,pass_rotation_band_auc_gt_0p6,pass_correction_low_band_auc_gt_0p6,pass_correction_rotation_deltaU_corr_gt_0p3,pass_correction_rotation_mech_f1_gt_0p6
qwen,all_refined_plus_raw,0.8171541778005477,0.6677360689909178,all_refined_plus_raw,0.8480698594334958,0.6740678195632348,0.7267040104982563,0.7264859750453256,0.5673513062491599,0.8132963204899852,0.49557427300347223,0.7023878417107583,0.40392178926611794,False,False,True,True,True
llama,correction_rotation,0.3551646094695607,0.12335121244546077,all_refined_plus_raw,0.8073785608897968,0.1797916657715418,0.33839249740782407,0.3551646094695607,0.6020620129643922,0.8236452940435611,0.5077984845196759,0.45710625757826284,0.6034730929569616,True,True,True,True,True
gemma,all_refined_plus_raw,0.8389523789626937,0.7031887932451666,all_refined_plus_raw,0.7252173185059091,0.7915727533833132,0.8070161166183251,0.8071530127478899,0.5892202082553764,0.7643951989005304,0.5158976236979167,0.33528645833333337,0.7720216629872543,True,False,True,True,True
