model,control,eligible_n,strict_crossings,target_crossing_rate,eligible_median_margin_shift,eligible_mean_margin_shift,eligible_median_task_coordinate_shift,non_target_n,non_target_top1_changes,collateral_rate,specificity,null_id,dose_multiset_exact
qwen,address_null_049,14,0,0.0,0.0,0.0078125,0.0,80,0,0.0,0.0,49,True
llama,address_null_000,27,0,0.0,0.0,-0.3145254629629629,0.0,80,4,0.05,-0.05,0,True
llama,address_null_001,27,0,0.0,0.0,-0.099537037037037,0.0,80,11,0.1375,-0.1375,1,True
llama,address_null_002,27,0,0.0,0.0,-0.2077546296296296,0.0,80,7,0.0875,-0.0875,2,True
llama,address_null_003,27,0,0.0,0.0,-0.0830439814814814,0.0,80,1,0.0125,-0.0125,3,True
llama,address_null_004,27,0,0.0,0.0,-0.0648148148148148,0.0,80,5,0.0625,-0.0625,4,True
llama,address_null_005,27,0,0.0,0.0,-0.0813078703703703,0.0,80,8,0.1,-0.1,5,True
llama,address_null_006,27,1,0.037037037037037,0.0,0.0141782407407407,0.0,80,5,0.0625,-0.0254629629629629,6,True
llama,address_null_007,27,0,0.0,0.0,-0.2175925925925926,0.0,80,5,0.0625,-0.0625,7,True
llama,address_null_008,27,0,0.0,0.0,-0.2112268518518518,0.0,80,5,0.0625,-0.0625,8,True
llama,address_null_009,27,0,0.0,0.0,-0.1571180555555555,0.0,80,5,0.0625,-0.0625,9,True
llama,address_null_010,27,1,0.037037037037037,0.0,-0.2335069444444444,0.0,80,7,0.0875,-0.0504629629629629,10,True
llama,address_null_011,27,0,0.0,0.0,-0.1076388888888889,0.0,80,8,0.1,-0.1,11,True
llama,address_null_012,27,0,0.0,0.0,-0.0980902777777777,0.0,80,6,0.075,-0.075,12,True
llama,address_null_013,27,0,0.0,0.0,-0.3362268518518518,0.0,80,6,0.075,-0.075,13,True
llama,address_null_014,27,0,0.0,0.0,-0.169849537037037,0.0,80,6,0.075,-0.075,14,True
llama,address_null_015,27,1,0.037037037037037,0.0,-0.0648148148148148,0.0,80,5,0.0625,-0.0254629629629629,15,True
llama,address_null_016,27,1,0.037037037037037,0.0,-0.035011574074074,0.0,80,6,0.075,-0.0379629629629629,16,True
llama,address_null_017,27,0,0.0,0.0,-0.0775462962962963,0.0,80,7,0.0875,-0.0875,17,True
llama,address_null_018,27,1,0.037037037037037,0.0,-0.1391782407407407,0.0,80,4,0.05,-0.0129629629629629,18,True
llama,address_null_019,27,0,0.0,0.0,-0.0934606481481481,0.0,80,6,0.075,-0.075,19,True
llama,address_null_020,27,1,0.037037037037037,0.0,-0.1472800925925926,0.0,80,8,0.1,-0.0629629629629629,20,True
llama,address_null_021,27,1,0.037037037037037,0.0,0.0691550925925925,0.0,80,5,0.0625,-0.0254629629629629,21,True
llama,address_null_022,27,0,0.0,0.0,-0.2514467592592592,0.0,80,8,0.1,-0.1,22,True
llama,address_null_023,27,0,0.0,0.0,-0.1733217592592592,0.0,80,5,0.0625,-0.0625,23,True
llama,address_null_024,27,0,0.0,0.0,-0.1516203703703703,0.0,80,4,0.05,-0.05,24,True
llama,address_null_025,27,0,0.0,0.0,-0.1325231481481481,0.0,80,6,0.075,-0.075,25,True
llama,address_null_026,27,1,0.037037037037037,0.0,-0.1869212962962963,0.0,80,7,0.0875,-0.0504629629629629,26,True
llama,address_null_027,27,0,0.0,0.0,-0.285011574074074,0.0,80,9,0.1125,-0.1125,27,True
llama,address_null_028,27,1,0.037037037037037,0.0,0.0202546296296296,0.0,80,4,0.05,-0.0129629629629629,28,True
llama,address_null_029,27,0,0.0,0.0,-0.1817129629629629,0.0,80,4,0.05,-0.05,29,True
llama,address_null_030,27,0,0.0,0.0,-0.3055555555555556,0.0,80,8,0.1,-0.1,30,True
llama,address_null_031,27,0,0.0,0.0,-0.2271412037037037,0.0,80,7,0.0875,-0.0875,31,True
llama,address_null_032,27,0,0.0,0.0,-0.169849537037037,0.0,80,4,0.05,-0.05,32,True
llama,address_null_033,27,0,0.0,0.0,-0.2071759259259259,0.0,80,7,0.0875,-0.0875,33,True
llama,address_null_034,27,0,0.0,0.0,-0.0983796296296296,0.0,80,7,0.0875,-0.0875,34,True
llama,address_null_035,27,0,0.0,0.0,-0.3498263888888889,0.0,80,5,0.0625,-0.0625,35,True
llama,address_null_036,27,1,0.037037037037037,0.0,-0.083912037037037,0.0,80,3,0.0375,-0.0004629629629629,36,True
llama,address_null_037,27,0,0.0,0.0,-0.2508680555555556,0.0,80,9,0.1125,-0.1125,37,True
llama,address_null_038,27,1,0.037037037037037,0.0,-0.1024305555555555,0.0,80,4,0.05,-0.0129629629629629,38,True
llama,address_null_039,27,1,0.037037037037037,0.0,-0.1174768518518518,0.0,80,7,0.0875,-0.0504629629629629,39,True
llama,address_null_040,27,0,0.0,0.0,-0.2994791666666667,0.0,80,6,0.075,-0.075,40,True
llama,address_null_041,27,0,0.0,0.0,-0.3206018518518518,0.0,80,5,0.0625,-0.0625,41,True
llama,address_null_042,27,1,0.037037037037037,0.0,-0.1759259259259259,0.0,80,5,0.0625,-0.0254629629629629,42,True
llama,address_null_043,27,1,0.037037037037037,0.0,-0.0986689814814814,0.0,80,7,0.0875,-0.0504629629629629,43,True
llama,address_null_044,27,0,0.0,0.0,0.0245949074074074,0.0,80,8,0.1,-0.1,44,True
llama,address_null_045,27,0,0.0,0.0,-0.078125,0.0,80,5,0.0625,-0.0625,45,True
llama,address_null_046,27,0,0.0,0.0,-0.044849537037037,0.0,80,8,0.1,-0.1,46,True
llama,address_null_047,27,0,0.0,0.0,-0.230324074074074,0.0,80,6,0.075,-0.075,47,True
llama,address_null_048,27,0,0.0,0.0,-0.1383101851851851,0.0,80,8,0.1,-0.1,48,True
llama,address_null_049,27,1,0.037037037037037,0.0,-0.1585648148148148,0.0,80,6,0.075,-0.0379629629629629,49,True
gemma,address_null_000,4,0,0.0,0.0,-0.349609375,0.0,80,2,0.025,-0.025,0,True
gemma,address_null_001,4,0,0.0,-0.078125,-0.1953125,3.259846806526184,80,1,0.0125,-0.0125,1,True
gemma,address_null_002,4,0,0.0,0.0,0.28515625,0.0,80,3,0.0375,-0.0375,2,True
gemma,address_null_003,4,0,0.0,-0.02734375,-0.275390625,0.0,80,4,0.05,-0.05,3,True
gemma,address_null_004,4,0,0.0,0.0,-0.111328125,0.0,80,5,0.0625,-0.0625,4,True
gemma,address_null_005,4,0,0.0,0.0,0.0,0.0,80,4,0.05,-0.05,5,True
gemma,address_null_006,4,0,0.0,0.0,-0.205078125,0.0,80,2,0.025,-0.025,6,True
gemma,address_null_007,4,0,0.0,0.0,0.0,0.0,80,3,0.0375,-0.0375,7,True
gemma,address_null_008,4,0,0.0,-0.078125,-0.435546875,3.259846806526184,80,3,0.0375,-0.0375,8,True
gemma,address_null_009,4,0,0.0,0.0,-0.26171875,0.0,80,3,0.0375,-0.0375,9,True
