r2_macro,corr_macro,mse,rmse,mae,fold,n_train,n_test,model
0.8211517035961151,0.9057821398168835,31904886.0,5648.441023857822,1969.65234375,0,11666,2926,F_state_Ohat_from_G1_state_only
0.8248243480920792,0.9079451199208164,35979308.0,5998.275418818313,2030.3250732421875,1,11666,2926,F_state_Ohat_from_G1_state_only
0.8287117928266525,0.9099742605009733,35002956.0,5916.329605422606,2053.690673828125,2,11666,2926,F_state_Ohat_from_G1_state_only
0.8222819566726685,0.9064359546145916,31733030.0,5633.2077895280945,1969.593505859375,3,11685,2907,F_state_Ohat_from_G1_state_only
0.8085484504699707,0.8987927818076388,40079312.0,6330.822379438551,2170.507568359375,4,11685,2907,F_state_Ohat_from_G1_state_only
0.8507629632949829,0.9221887010237197,30176982.0,5493.357989426868,1936.0556640625,0,11666,2926,F_state_Ohat_bilin_from_G1_state_only
0.8523787558078766,0.922983226241388,34202352.0,5848.277695185139,2001.562255859375,1,11666,2926,F_state_Ohat_bilin_from_G1_state_only
0.8575828820466995,0.9257376594421258,33331216.0,5773.319322538811,2035.36328125,2,11666,2926,F_state_Ohat_bilin_from_G1_state_only
0.8499004989862442,0.9215038346875255,30810808.0,5550.74841800635,1977.6500244140625,3,11685,2907,F_state_Ohat_bilin_from_G1_state_only
0.8350448608398438,0.9132762375667601,38268092.0,6186.120917020617,2140.086669921875,4,11685,2907,F_state_Ohat_bilin_from_G1_state_only
0.8244371265172958,0.9076226329418102,31531804.0,5615.318690866975,1961.29638671875,0,11666,2926,F_state_Ohat_from_G2_state_plus_history
0.828190267086029,0.9098314450607375,34993908.0,5915.564892721573,2015.020263671875,1,11666,2926,F_state_Ohat_from_G2_state_plus_history
0.8320143222808838,0.91182125409685,34433640.0,5868.0184048791125,2041.4732666015625,2,11666,2926,F_state_Ohat_from_G2_state_plus_history
0.8244054913520813,0.9076164342807028,31622758.0,5623.411597953684,1971.364501953125,3,11685,2907,F_state_Ohat_from_G2_state_plus_history
0.8119997382164001,0.9007296208441126,39273844.0,6266.884712518653,2159.96875,4,11685,2907,F_state_Ohat_from_G2_state_plus_history
0.8552204221487045,0.9245891237942614,29322794.0,5415.052538987964,1912.3212890625,0,11666,2926,F_state_Ohat_bilin_from_G2_state_plus_history
0.8609940409660339,0.9277399078694164,31625062.0,5623.616452070678,1943.185546875,1,11666,2926,F_state_Ohat_bilin_from_G2_state_plus_history
0.8656236678361893,0.930135905272111,30880668.0,5557.0377000700655,1979.992919921875,2,11666,2926,F_state_Ohat_bilin_from_G2_state_plus_history
0.8559543341398239,0.9248202183549749,29479768.0,5429.527419582666,1934.013916015625,3,11685,2907,F_state_Ohat_bilin_from_G2_state_plus_history
0.8426649123430252,0.9175200603167523,35940064.0,5995.00325270971,2079.419189453125,4,11685,2907,F_state_Ohat_bilin_from_G2_state_plus_history
0.8314667642116547,0.9115242440286169,31208444.0,5586.451825622414,1940.2066650390625,0,11666,2926,F_state_Ohat_from_G3_state_plus_context
0.8338441699743271,0.912921024094565,35422876.0,5951.712022603244,2008.9517822265625,1,11666,2926,F_state_Ohat_from_G3_state_plus_context
0.8372347056865692,0.9147156026222031,34506868.0,5874.254676127006,2032.0411376953125,2,11666,2926,F_state_Ohat_from_G3_state_plus_context
0.8311168402433395,0.9113099549616183,31554874.0,5617.372517467575,1958.7872314453125,3,11685,2907,F_state_Ohat_from_G3_state_plus_context
0.8168123066425323,0.9033301462125057,39761928.0,6305.7059874370925,2157.194580078125,4,11685,2907,F_state_Ohat_from_G3_state_plus_context
0.8622737526893616,0.9284039086626585,28476066.0,5336.297030713339,1886.2919921875,0,11666,2926,F_state_Ohat_bilin_from_G3_state_plus_context
0.863392174243927,0.928905016896042,32780328.0,5725.4107276247005,1965.507080078125,1,11666,2926,F_state_Ohat_bilin_from_G3_state_plus_context
0.8672274500131607,0.9309477513104483,32049402.0,5661.2191266546115,1990.0406494140625,2,11666,2926,F_state_Ohat_bilin_from_G3_state_plus_context
0.8600712865591049,0.9270165495740585,30035418.0,5480.457827590684,1949.965087890625,3,11685,2907,F_state_Ohat_bilin_from_G3_state_plus_context
0.8457916229963303,0.9191201199637361,37301128.0,6107.464940546119,2116.924560546875,4,11685,2907,F_state_Ohat_bilin_from_G3_state_plus_context
0.8328054547309875,0.912273540033425,30832046.0,5552.661163802452,1935.7152099609375,0,11666,2926,F_state_Ohat_from_G4_state_history_context
0.8355128467082977,0.9138651423946519,34524380.0,5875.745059139309,1994.4306640625,1,11666,2926,F_state_Ohat_from_G4_state_history_context
0.8387986570596695,0.9155884936915343,33948908.0,5826.5691448741945,2027.3836669921875,2,11666,2926,F_state_Ohat_from_G4_state_history_context
0.831956073641777,0.9117829882130661,31309776.0,5595.513917416344,1964.701171875,3,11685,2907,F_state_Ohat_from_G4_state_history_context
0.8192974328994751,0.9047268838964049,38864988.0,6234.179015716504,2145.453125,4,11685,2907,F_state_Ohat_from_G4_state_history_context
0.8615224212408066,0.9279555709460683,28573870.0,5345.453208101255,1900.670654296875,0,11666,2926,F_state_Ohat_bilin_from_G4_state_history_context
0.8645840883255005,0.9296200833213091,31334162.0,5597.692560332338,1933.5306396484375,1,11666,2926,F_state_Ohat_bilin_from_G4_state_history_context
0.869955837726593,0.93245148649741,30637682.0,5535.131615418011,1969.78076171875,2,11666,2926,F_state_Ohat_bilin_from_G4_state_history_context
0.8607463389635086,0.9273974290385107,29305710.0,5413.4748544719405,1934.1226806640625,3,11685,2907,F_state_Ohat_bilin_from_G4_state_history_context
0.8465315997600555,0.9195741963336883,36263568.0,6021.923945052777,2095.95361328125,4,11685,2907,F_state_Ohat_bilin_from_G4_state_history_context
