sample_id,graph_id,condition,phase,layer,transition,C_id,E_id,jaccard,center_cos,center_step,spread_l,spread_l1,spread_delta,R_l,R_l1,R_delta,rank_gap_l,rank_gap_l1,rank_gap_delta,center_backtrack_init,R_prev_delta,R_velocity_reversal,rank_gap_prev_delta,rank_gap_reversal,center_backtrack_prevprev,heuristic_operator,op_pc1,op_pc2,op_pc3,op_pc4,op_pc5,op_pc6,op_pc7,op_pc8,op_pc9,op_pc10,operator_cluster,weak_confidence,boundary_dist_l,boundary_dist_l1,boundary_dist_delta,correction_candidate,is_correction,unstable_reversal,reconstructive_reversal
0,0,stable_positive,positive,7,L7_to_L8,3731,8697,0.5060240963855421,0.9171237349510192,0.0828762650489807,0.8879073858261108,0.8830201625823975,-0.0048872232437133,1.8744069337844849,1.5279786586761477,-0.3464282751083374,16885.0,16702.0,-183.0,-0.0828761458396911,0.0,0,0.0,0,0.0,Rotation,0.3037404232230101,0.4779853766841179,0.1373180285297481,-0.4402112740408894,-1.292094914787341,-0.8787950550110862,-0.0446801540468103,0.8549708464651095,-0.1398521167916928,-0.0182954777898808,1,0,1.8744069337844849,1.5279786586761477,-0.3464282751083372,0,0,0,0
0,0,stable_positive,positive,8,L8_to_L9,3731,8697,0.5174506828528073,0.9160353541374208,0.0839646458625793,0.8830201625823975,0.8727222681045532,-0.0102978944778442,1.5279786586761477,2.486166834831238,0.9581881761550904,16702.0,34307.0,17605.0,-0.0603123903274536,-0.3464282751083374,1,-183.0,1,-0.0603123903274536,Regression,0.1889223743630038,0.6771759214501791,0.3463716488658802,1.4870004138485406,1.582256607371974,-0.3064569366339693,-0.6590642397799639,1.1604479610865406,-0.3909584056981001,-0.0304680049025853,1,0,1.5279786586761477,2.486166834831238,0.9581881761550901,1,1,0,0
0,0,stable_positive,positive,9,L9_to_L10,3731,8697,0.5432098765432098,0.9472719430923462,0.0527280569076538,0.8727222681045532,0.8659848570823669,-0.0067374110221862,2.486166834831238,2.174643039703369,-0.3115237951278686,34307.0,21219.0,-13088.0,-0.0175403952598571,0.9581881761550904,1,17605.0,1,-0.0320438742637634,Regression,-0.5958474151050609,1.3661003594119232,-0.3969971624159706,-1.9572442141582551,1.5571573589204688,-0.0195042522370918,-0.6231601215508344,0.534996084539942,-0.3215797699101054,0.0994476738545901,1,0,2.486166834831238,2.174643039703369,-0.31152379512786865,1,0,1,0
0,0,stable_positive,positive,10,L10_to_L11,3731,8697,0.5625,0.949322521686554,0.050677478313446,0.8659848570823669,0.8519954681396484,-0.0139893889427185,2.174643039703369,1.9558756351470947,-0.2187674045562744,21219.0,20418.0,-801.0,-0.0534438490867614,-0.3115237951278686,0,-13088.0,0,-0.0215107798576354,Reconstruction,-0.4297236328812976,0.5178600676139041,0.3524067508581914,0.2132916590956068,-1.480578814722504,-1.53487398350112,-0.6100456712183445,0.0970350225241339,-0.2207140860867322,-0.0750238325990111,1,0,2.174643039703369,1.9558756351470947,-0.21876740455627441,0,0,0,0
0,0,stable_positive,positive,11,L11_to_L12,3731,8697,0.6051364365971108,0.961996614933014,0.038003385066986,0.8519954681396484,0.8316523432731628,-0.0203431248664855,1.9558756351470947,1.8131136298179624,-0.142762005329132,20418.0,18467.0,-1951.0,-0.0646410584449768,-0.2187674045562744,0,-801.0,0,-0.0285355448722839,Reconstruction,-0.72470153595999,0.617293682830559,0.2411324466105107,-0.223050130381453,-1.510658602365572,-0.7723395857059193,-0.8532067334494128,0.1424150187095817,-0.6392239967299417,-0.1436914303107318,1,0,1.9558756351470947,1.8131136298179624,-0.1427620053291323,0,0,0,0
0,0,stable_positive,positive,12,L12_to_L13,3731,8697,0.5455950540958269,0.8685975670814514,0.1314024329185485,0.8316523432731628,0.8776817917823792,0.0460294485092163,1.8131136298179624,2.087140738964081,0.2740271091461181,18467.0,14958.0,-3509.0,0.145108163356781,-0.142762005329132,1,-1951.0,0,-0.0577350258827209,Regression,0.2569375405428062,0.3261517049956253,-0.1623937220231058,-0.0163287083858739,0.5151943301717746,-1.1013740685123208,1.7921561663714125,0.2097015756618846,0.7278768772913194,1.5950580841982898,1,0,1.8131136298179624,2.087140738964081,0.2740271091461184,1,0,0,1
0,0,stable_positive,positive,13,L13_to_L14,3731,8697,0.6207455429497569,0.9560140371322632,0.0439859628677368,0.8776817917823792,0.8726193904876709,-0.0050624012947082,2.087140738964081,2.0548251271247864,-0.0323156118392944,14958.0,11943.0,-3015.0,-0.0168133378028869,0.2740271091461181,1,-3509.0,0,0.0268555283546447,Regression,-0.4643081770283926,0.6237875525005145,1.050167711451905,-0.6453374801186769,-0.0337267130853119,-1.0283913185397189,-0.530910571311735,0.3237265080463017,-0.5753351526368482,1.3941268631485415,1,0,2.087140738964081,2.0548251271247864,-0.032315611839294434,1,0,1,0
0,0,stable_positive,positive,14,L14_to_L15,3731,8697,0.6474464579901154,0.9343025088310242,0.0656974911689758,0.8726193904876709,0.8841438889503479,0.011524498462677,2.0548251271247864,2.085752457380295,0.0309273302555084,11943.0,8288.0,-3655.0,0.0239785909652709,-0.0323156118392944,1,-3015.0,0,-0.0210516452789306,Regression,0.0318602751892685,0.5349288905918688,1.0695426186249644,-0.5484241038366262,0.1396101942919925,-1.1840353107276074,0.1983683734769068,0.1252015406943195,-0.4378893808738885,1.421369416907076,1,0,2.0548251271247864,2.085752457380295,0.030927330255508423,1,1,0,0
0,0,stable_positive,positive,15,L15_to_L16,3731,8697,0.6181229773462783,0.8852119445800781,0.1147880554199218,0.8841438889503479,0.8582724332809448,-0.025871455669403,2.085752457380295,1.4019792079925537,-0.6837732493877411,8288.0,3190.0,-5098.0,-0.0765728950500488,0.0309273302555084,1,-3655.0,0,0.0108910202980041,Regression,0.7484641235905246,0.0857518277023954,0.4043595518891084,-0.8377743766848763,-0.1982016461366035,-1.045968981466422,-1.3764618440113514,0.1867024790818952,-0.2593815472726924,1.3611912804553925,1,0,2.085752457380295,1.4019792079925537,-0.6837732493877411,1,0,1,0
0,0,stable_positive,positive,16,L16_to_L17,3731,8697,0.6260162601626016,0.9170792698860168,0.0829207301139831,0.8582724332809448,0.8834274411201477,0.0251550078392028,1.4019792079925537,1.1827208399772644,-0.2192583680152893,3190.0,3855.0,665.0,0.0527705550193786,-0.6837732493877411,0,-5098.0,1,0.0513731837272644,Regression,-0.1694768573226189,-0.2690328056422256,1.4173848069017168,-0.2703655795007095,0.2385029786902637,-1.1056070250616317,0.9679717143784357,0.0829498396418183,0.2918479960551158,-1.2559040867298032,1,0,1.4019792079925537,1.1827208399772644,-0.2192583680152893,1,0,1,0
0,0,stable_positive,positive,17,L17_to_L18,3731,8697,0.6778523489932886,0.9568509459495544,0.0431490540504455,0.8834274411201477,0.8718036413192749,-0.0116237998008728,1.1827208399772644,2.01858702301979,0.8358661830425262,3855.0,9072.0,5217.0,-0.016287624835968,-0.2192583680152893,1,665.0,0,0.0250794887542724,Regression,-0.2362486145981666,0.4223414913593507,1.79825335719899,0.1430728664243733,-0.0323324187554835,-0.523324136929923,-0.724347707682323,0.6391427542775833,-0.8960589565115928,1.2201972611280052,1,0,1.1827208399772644,2.01858702301979,0.8358661830425258,1,1,0,0
0,0,stable_positive,positive,18,L18_to_L19,3731,8697,0.557632398753894,0.9347739219665528,0.0652260780334472,0.8718036413192749,0.8541021943092346,-0.0177014470100402,2.01858702301979,1.6155556440353394,-0.4030313789844513,9072.0,4079.0,-4993.0,-0.0745894908905029,0.8358661830425262,1,5217.0,1,-0.0785546898841857,Regression,0.1826216852545735,0.4931382541386222,0.1591781883068971,-1.140445185147935,1.275103487195209,0.2430163103155077,-1.124629321583185,-0.2038896733092102,-0.3178588841210389,0.2179643762173225,1,0,2.01858702301979,1.6155556440353394,-0.40303137898445085,1,0,1,0
0,0,stable_positive,positive,19,L19_to_L20,3731,8697,0.5432098765432098,0.9352145195007324,0.0647854804992675,0.8541021943092346,0.8624519109725952,0.0083497166633605,1.6155556440353394,1.9548568725585935,0.3393012285232544,4079.0,6688.0,2609.0,-0.0357424616813659,-0.4030313789844513,1,-4993.0,1,-0.0579006075859069,Regression,-0.0492761940424493,-0.1398864840762363,0.6671903734450259,0.4142821890670843,1.433633399919174,-0.5518917431417063,-0.0848602857309921,-0.3506479175404773,-0.1463895465168687,0.1107607028267451,1,0,1.6155556440353394,1.9548568725585935,0.3393012285232542,1,1,0,0
0,0,stable_positive,positive,20,L20_to_L21,3731,8697,0.5600624024960998,0.9463282823562622,0.0536717176437377,0.8624519109725952,0.8448210954666138,-0.0176308155059814,1.9548568725585935,3.86699652671814,1.912139654159546,6688.0,17400.0,10712.0,-0.0456048846244812,0.3393012285232544,0,2609.0,0,-0.0050573945045471,Reconstruction,-0.4455008110130594,1.6536132912681794,1.0643996486542635,1.1802340963336118,-1.3187863090025993,0.6364679619214938,-0.5285009461365845,0.5565544776093753,-0.0266189441996801,0.0909409390948192,1,0,1.9548568725585935,3.86699652671814,1.9121396541595466,0,0,0,0
0,0,stable_positive,positive,21,L21_to_L22,3731,8697,0.6155088852988692,0.899562418460846,0.100437581539154,0.8448210954666138,0.8693888783454895,0.0245677828788757,3.86699652671814,2.6166757345199585,-1.2503207921981812,17400.0,14139.0,-3261.0,0.0013567805290222,1.912139654159546,1,10712.0,1,-0.0389198064804077,Regression,-0.0800831941072239,1.6928839344255,-0.2030842709232446,-2.0313136507394125,1.728082580992688,0.35852084873724,0.6745856354280628,-0.1028604684596346,-0.0461499151038477,0.7815442984535013,1,0,3.86699652671814,2.6166757345199585,-1.2503207921981816,1,0,1,0
0,0,stable_positive,positive,22,L22_to_L23,3731,8697,0.6750418760469011,0.9678338766098022,0.0321661233901977,0.8693888783454895,0.8697670698165894,0.0003781914710998,2.6166757345199585,5.440280437469482,2.823604702949524,14139.0,27098.0,12959.0,0.010761022567749,-1.2503207921981812,1,-3261.0,1,0.0045980215072631,Regression,-0.8578598694816062,1.7883700938354297,2.1908843327302425,2.3148339346084668,1.679910338473409,-0.7926155655943052,-0.4254263618124109,0.1940148390828552,-0.463528795273094,-0.1216871716299591,1,0,2.6166757345199585,5.440280437469482,2.823604702949524,1,1,0,0
0,0,stable_positive,positive,23,L23_to_L24,3731,8697,0.6583747927031509,0.955374538898468,0.0446254611015319,0.8697670698165894,0.8754030466079712,0.0056359767913818,5.440280437469482,6.69725513458252,1.256974697113037,27098.0,35507.0,8409.0,-0.024282157421112,2.823604702949524,0,12959.0,0,-0.0318489670753479,Preservation,-0.763856740238556,4.8927960387474405,0.8284045213467208,-0.5043386580604885,-0.8649954551469098,1.260767918544434,0.4745800387352942,0.594071336381782,-0.2546812629622164,0.8489861934990421,1,0,5.440280437469482,6.69725513458252,1.256974697113038,0,0,0,0
0,0,stable_positive,positive,24,L24_to_L25,3731,8697,0.5873015873015873,0.8329012989997864,0.1670987010002136,0.8754030466079712,0.8779551982879639,0.0025521516799926,6.69725513458252,7.385044574737549,0.6877894401550293,35507.0,39623.0,4116.0,-0.0845760703086853,1.256974697113037,0,8409.0,0,-0.1583399772644043,Reconstruction,1.352760265445846,4.644033673476292,-0.9782997161055216,0.2885565759930851,-0.7028515707254349,-0.1202029156934926,0.3687034199772965,0.2287722581582378,0.5018236467457675,0.7204557639387326,1,0,6.69725513458252,7.385044574737549,0.6877894401550284,0,0,0,0
0,0,stable_positive,positive,25,L25_to_L26,3731,8697,0.7211703958691911,0.9611135125160216,0.0388864874839782,0.8779551982879639,0.8799542188644409,0.001999020576477,7.385044574737549,12.305641174316406,4.920596599578857,39623.0,32676.0,-6947.0,0.0744930505752563,0.6877894401550293,0,4116.0,1,0.0108263492584228,Regression,-1.228547385522081,6.821343803967258,2.373488624427261,1.597193249551331,0.7662436248596232,-0.0558420037732998,-0.0502647614945981,-0.8819209810550311,1.1317014571105786,-0.8232788322992957,1,0,7.385044574737549,12.305641174316406,4.920596599578857,1,1,0,0
1,0,weak_positive,positive,7,L7_to_L8,3731,8697,0.3227513227513227,0.96709406375885,0.0329059362411499,0.7819021344184875,0.7553231120109558,-0.0265790224075317,0.3685081601142883,0.710685059428215,0.3421768993139267,12507.0,33492.0,20985.0,-0.0329057574272155,0.0,0,0.0,0,0.0,Reconstruction,-2.1665146142194693,-0.7629677843789033,-1.3074176507757382,1.807895657276684,-1.6967994510760416,1.0134325747748705,-0.9125606769826684,0.9441907632219758,0.1929871450647184,0.047643342151936,0,0,0.3685081601142883,0.710685059428215,0.34217689931392675,0,0,0,0
