prompt_id,layer,alpha,beta,policy_conf,action_label,mean_p_closure,mean_entropy,gate_open
g000_clean,8,0.0,0.0,0.9947410505825388,gated_zero,3.483136758742282e-05,0.0391948964168346,False
g000_clean,9,0.0,0.0,0.995274522129908,gated_zero,3.483136758742282e-05,0.0391948964168346,False
g000_clean,10,0.0,0.0,0.9953120675660082,gated_zero,3.483136758742282e-05,0.0391948964168346,False
g000_clean,11,0.0,0.0,0.994542236565436,gated_zero,3.483136758742282e-05,0.0391948964168346,False
g000_redundant,8,0.0,0.0,0.9734964352377872,gated_zero,0.0159912998135958,0.6763527970504865,False
g000_redundant,9,0.0,0.0,0.9839156261255128,gated_zero,0.0159912998135958,0.6763527970504865,False
g000_redundant,10,0.0,0.0,0.9840706353350548,gated_zero,0.0159912998135958,0.6763527970504865,False
g000_redundant,11,0.0,0.0,0.9842207221260788,gated_zero,0.0159912998135958,0.6763527970504865,False
g000_irrelevant,8,0.0,0.0,0.9925813864850356,gated_zero,0.0399593103541919,0.7158309078577115,False
g000_irrelevant,9,0.0,0.0,0.994186643610624,gated_zero,0.0399593103541919,0.7158309078577115,False
g000_irrelevant,10,0.0,0.0,0.9827325885497484,gated_zero,0.0399593103541919,0.7158309078577115,False
g000_irrelevant,11,0.0,0.0,0.995269177404672,gated_zero,0.0399593103541919,0.7158309078577115,False
g000_paraphrase,8,0.0,0.0,0.8359165263472144,gated_zero,0.2695872423832008,0.91379616878913,False
g000_paraphrase,9,0.0,0.0,0.8112200383126981,gated_zero,0.2695872423832008,0.91379616878913,False
g000_paraphrase,10,0.0,0.0,0.6769245799862896,gated_zero,0.2695872423832008,0.91379616878913,False
g000_paraphrase,11,0.0,0.0,0.6965029518137051,gated_zero,0.2695872423832008,0.91379616878913,False
g000_weak_distractor,8,0.0,0.0,0.983538592631265,gated_zero,0.0479564575421319,0.7250589753602636,False
g000_weak_distractor,9,0.0,0.0,0.9825752591463413,gated_zero,0.0479564575421319,0.7250589753602636,False
g000_weak_distractor,10,0.0,0.0,0.9863904697514264,gated_zero,0.0479564575421319,0.7250589753602636,False
g000_weak_distractor,11,0.0,0.0,0.9826667503481746,gated_zero,0.0479564575421319,0.7250589753602636,False
g000_competition_balanced,8,0.0,0.0,0.2798476641677749,gated_zero,0.1998120218261649,0.7026770375244338,False
g000_competition_balanced,9,0.0,0.0,0.923563803195166,gated_zero,0.1998120218261649,0.7026770375244338,False
g000_competition_balanced,10,0.0,0.0,0.7433911231324862,gated_zero,0.1998120218261649,0.7026770375244338,False
g000_competition_balanced,11,0.0,0.0,0.7030010062258488,gated_zero,0.1998120218261649,0.7026770375244338,False
g000_direct_conflict,8,0.0,0.0,0.9756876466879147,gated_zero,0.0770977376023808,0.6302990107208768,False
g000_direct_conflict,9,0.0,0.0,0.9005480032535127,gated_zero,0.0770977376023808,0.6302990107208768,False
g000_direct_conflict,10,0.0,0.0,0.9819466043926044,gated_zero,0.0770977376023808,0.6302990107208768,False
g000_direct_conflict,11,0.0,0.0,0.9134604931405882,gated_zero,0.0770977376023808,0.6302990107208768,False
g000_closure_update,8,1.0,1.2,0.2980425581690527,gated_uniform_a1.0_b1.2,0.99542125335358,0.0281579732422431,True
g000_closure_update,9,1.0,1.2,0.2617256598085341,gated_uniform_a1.0_b1.2,0.99542125335358,0.0281579732422431,True
g000_closure_update,10,1.0,1.2,0.3273407031997405,gated_uniform_a1.0_b1.2,0.99542125335358,0.0281579732422431,True
g000_closure_update,11,1.0,1.2,0.2827085155030252,gated_uniform_a1.0_b1.2,0.99542125335358,0.0281579732422431,True
g000_closure_override,8,1.0,1.2,0.2760797193189632,gated_uniform_a1.0_b1.2,0.9481863932561948,0.1889705795778204,True
g000_closure_override,9,1.0,1.2,0.2603731261908108,gated_uniform_a1.0_b1.2,0.9481863932561948,0.1889705795778204,True
g000_closure_override,10,1.0,1.2,0.2761743124963461,gated_uniform_a1.0_b1.2,0.9481863932561948,0.1889705795778204,True
g000_closure_override,11,1.0,1.2,0.2775950030385481,gated_uniform_a1.0_b1.2,0.9481863932561948,0.1889705795778204,True
