model_key,gv2_best_residual_deltaU_corr,gv2_best_residual_mechanism_f1,window_corr_gv2_resid_deltaU_vs_cm5c_O_deltaU,window_corr_gv2_resid_mech_vs_cm5c_O_mech,best_parallel_deltaU_corr,best_perp_deltaU_corr,best_both_deltaU_corr,best_parallel_mech_f1,best_perp_mech_f1,best_both_mech_f1,perp_beats_parallel_deltaU,parallel_plus_perp_beats_both
qwen,0.7745146793345263,0.7791247646948225,-0.364319054602316,-0.2980975947561236,0.7279716114021512,0.7745146793345263,0.7899510576787426,0.7434732357748691,0.7783231336487937,0.8874520550749336,True,True
llama,0.3380878065403796,0.758755864019022,0.41505224605214064,0.7090584816001659,0.33153563468826247,0.3380878065403796,0.37275982181002787,0.7473291589363017,0.704041815288759,0.8725926288350895,True,True
gemma,0.7502509420679384,0.7578086979346578,0.07281254460789283,0.4657834495418744,0.7443595934557065,0.7502509420679384,0.7998043125492728,0.6746440309522512,0.6426143568631265,0.8078565235086974,True,True
