control,closure_n,closure_crossings,closure_crossing_rate,closure_crossing_ci95_low,closure_crossing_ci95_high,closure_mean_margin_shift,closure_median_margin_shift,closure_max_final_margin,closure_mean_DeltaU_shift,nonclosure_pair_flip_rate,nonclosure_mean_abs_margin_shift,margin_specificity,mean_norm_ratio,max_norm_ratio,all_finite,nonzero_action_rate,max_action_rate
none,87,0,0.0,0.0,0.04228899535014795,0.0005387931034482759,0.0,1.6640625,0.00020610866532928641,0.0,0.0011930418719211823,-0.0006542487684729065,1.0,1.0,True,,
same_combo_fixed,87,8,0.09195402298850575,0.04733232597752604,0.1710874288484568,0.2570941091954023,0.21875,1.84375,0.2682392945748636,0.10344827586206896,0.25400246305418717,0.003091646141215154,0.9650467157363891,1.0012129545211792,True,,
policy_fixed_global,87,0,0.0,0.0,0.04228899535014795,0.0005387931034482759,0.0,1.6640625,0.00020610866532928641,0.0,0.0011930418719211823,-0.0006542487684729065,1.0,1.0,True,0.0,0.0
policy_boundary,87,19,0.21839080459770116,0.14450701870548616,0.31609253039976964,0.5933010057471264,0.578125,2.203125,0.6150854654695795,0.014778325123152709,0.019204125615763547,0.5740968801313628,0.9871420200939837,1.1423717737197876,True,0.2974137931034483,0.11982758620689656
policy_boundary_guarded,87,19,0.21839080459770116,0.14450701870548616,0.31609253039976964,0.5963541666666666,0.578125,2.203125,0.6180805119461027,0.009852216748768473,0.007504618226600986,0.5888495484400657,0.9869585030654381,1.059103012084961,True,0.2775862068965517,0.1146551724137931
shuffle_boundary_labels,87,17,0.19540229885057472,0.12573278124165055,0.29083407799464656,0.3926903735632184,0.3125,2.125,0.4078206254661768,0.15763546798029557,0.40582666256157635,-0.013136288998357948,0.9848684160462741,1.1597212553024292,True,0.5956896551724138,0.25
