action_label,alpha,beta,closure_crossings,closure_crossing_rate,closure_mean_margin_shift,nonclosure_flip_rate,nonclosure_mean_abs_margin_shift,dose,selected
a0.0_b0.0,0.0,0.0,0,0.0,-7.77363184079602e-05,0.0021321961620469083,0.001449227078891258,0.0,True
a0.3_b0.3,0.3,0.3,23,0.11442786069651742,0.27608053482587064,0.09808102345415778,0.23818963219616204,0.18,False
a0.6_b0.3,0.6,0.3,42,0.208955223880597,0.47119869402985076,0.13859275053304904,0.3460321162046908,0.44999999999999996,False
a0.6_b0.6,0.6,0.6,43,0.21393034825870647,0.5005052860696517,0.13432835820895522,0.34006863006396587,0.72,False
a0.9_b0.3,0.9,0.3,50,0.24875621890547264,0.6258939676616916,0.14498933901918976,0.4145955490405117,0.9,False
a0.9_b0.6,0.9,0.6,50,0.24875621890547264,0.6582322761194029,0.14285714285714285,0.4132962420042644,1.17,False
a0.9_b0.9,0.9,0.9,50,0.24875621890547264,0.6903373756218906,0.13859275053304904,0.41472881130063965,1.62,False
a1.0_b0.6,1.0,0.6,50,0.24875621890547264,0.6960898631840796,0.14498933901918976,0.4416477878464819,1.3599999999999999,False
a1.0_b0.9,1.0,0.9,51,0.2537313432835821,0.7299828980099502,0.14285714285714285,0.4442797174840085,1.81,False
a1.0_b1.2,1.0,1.2,52,0.25870646766169153,0.7633317786069652,0.14285714285714285,0.4490438432835821,2.44,False
