prompt_id,layer,alpha,beta,policy_conf,action_label,mean_p_closure,mean_entropy,gate_open
g018_weak_distractor,8,0.0,0.0,0.9880810690817114,a0.0_b0.0_confidence_gate_gate,0.057193235260954205,0.7190734423100973,False
g018_weak_distractor,9,0.0,0.0,0.9792687171166032,a0.0_b0.0_confidence_gate_gate,0.057193235260954205,0.7190734423100973,False
g018_weak_distractor,10,0.0,0.0,0.9794561901526467,a0.0_b0.0_confidence_gate_gate,0.057193235260954205,0.7190734423100973,False
g018_weak_distractor,11,0.0,0.0,0.9767270946939958,a0.0_b0.0_confidence_gate_gate,0.057193235260954205,0.7190734423100973,False
g018_competition_balanced,8,0.0,0.0,0.6282967979348559,a0.0_b0.0_confidence_gate_gate,0.12626777308091214,0.6321766763786507,False
g018_competition_balanced,9,0.0,0.0,0.8955527530005454,a0.0_b0.0_confidence_gate_gate,0.12626777308091214,0.6321766763786507,False
g018_competition_balanced,10,0.0,0.0,0.9051451847135569,a0.0_b0.0_confidence_gate_gate,0.12626777308091214,0.6321766763786507,False
g018_competition_balanced,11,0.0,0.0,0.894597448675832,a0.0_b0.0_confidence_gate_gate,0.12626777308091214,0.6321766763786507,False
g018_direct_conflict,8,0.0,0.0,0.9664445098745529,a0.0_b0.0_confidence_gate_gate,0.06574980613132139,0.6463106926864635,False
g018_direct_conflict,9,0.0,0.0,0.9623585964990886,a0.0_b0.0_confidence_gate_gate,0.06574980613132139,0.6463106926864635,False
g018_direct_conflict,10,0.0,0.0,0.9741700305302523,a0.0_b0.0_confidence_gate_gate,0.06574980613132139,0.6463106926864635,False
g018_direct_conflict,11,0.0,0.0,0.959180262704164,a0.0_b0.0_confidence_gate_gate,0.06574980613132139,0.6463106926864635,False
g018_closure_update,8,1.0,0.9,0.31393336223663665,a1.0_b0.9,0.9809806336424354,0.09315616011807804,True
g018_closure_update,9,1.0,0.9,0.2995157807416021,a1.0_b0.9,0.9809806336424354,0.09315616011807804,True
