target,r2,corr
op_pc1,0.9314740933489906,0.9651290552848686
op_pc2,0.9252404623096846,0.9618942098333674
op_pc3,0.8792654756819372,0.9376915694223656
op_pc4,0.4040840183064601,0.6356761825457241
op_pc5,0.9675576271636074,0.9836450731086569
op_pc6,0.8755756026437697,0.9357219692025627
op_pc7,0.15657522176405037,0.395696633239972
op_pc8,0.6907903132583313,0.8311379668080926
op_pc9,0.6842042911338657,0.8271664313505219
op_pc10,0.9880710146749667,0.9940176294004458
macro,0.7502838120285664,0.8467776720196577
