model,target,r2,corr,rmse,mae
M0_R_only,R_l1,0.8753328979453547,0.9355928055529963,0.86530296924275,0.6176212030163676
M0_R_only,boundary_dist_l1,0.6789816698887453,0.8240039664650637,1.1932907487599707,0.8263664924412445
M0_R_only,spread_l1,0.10000863126175386,0.31624267024977026,0.04879507993096246,0.03495773583968131
M0_R_only,rank_gap_l1,0.7535904884617715,0.868096292720369,11890.717117272734,8133.765628945956
M1_R_plus_B,R_l1,0.8779929799247034,0.93701318415759,0.8560214984413532,0.6083390449550516
M1_R_plus_B,boundary_dist_l1,0.8559825606421857,0.9251934997877158,0.7992615123804843,0.5558941566561318
M1_R_plus_B,spread_l1,0.09996070672141089,0.3161673606816308,0.04879637908266974,0.03498107713551543
M1_R_plus_B,rank_gap_l1,0.7535986098245411,0.8681009849745761,11890.521163751282,8135.895157069917
M2_RBT_state,R_l1,0.8779949840934246,0.937014260096647,0.8560144676223223,0.6083543734363182
M2_RBT_state,boundary_dist_l1,0.8559913719486194,0.9251982643040507,0.7992370617102721,0.5559621376288885
M2_RBT_state,spread_l1,0.7901783271435634,0.8889201308322757,0.02356036607710073,0.017239193100000882
M2_RBT_state,rank_gap_l1,0.7559177088824185,0.8694356838118548,11834.432828847648,8160.237193678633
M3_RBT_plus_Hshape,R_l1,0.8808567409729362,0.9385400701979851,0.8459155328899772,0.6096374624370057
M3_RBT_plus_Hshape,boundary_dist_l1,0.8626544851271638,0.9287921771081986,0.7805282007953794,0.555778778875988
M3_RBT_plus_Hshape,spread_l1,0.792333154724021,0.8901313126146755,0.023439073683213546,0.017207385113343125
M3_RBT_plus_Hshape,rank_gap_l1,0.7600336321607712,0.8717994688704034,11734.227457700867,8123.877020648683
M4_Hshape_only,R_l1,0.4004815606906882,0.6328363763824755,1.8975513377903495,1.3603205371575051
M4_Hshape_only,boundary_dist_l1,0.35359892068680654,0.5946419071074539,1.6932940974449522,1.1749219862575233
M4_Hshape_only,spread_l1,0.051306573963557534,0.22650991486656993,0.05009793294521557,0.03541046994937182
M4_Hshape_only,rank_gap_l1,0.022910353210410905,0.15138041502460078,23678.08193985552,16435.653516478233
M5_state_plus_Ocont,R_l1,0.9999928454625151,0.9999966700371328,0.006555156182136748,0.005026801949391512
M5_state_plus_Ocont,boundary_dist_l1,0.9210712083903827,0.9597249199024973,0.5916966152868541,0.3972731934913813
M5_state_plus_Ocont,spread_l1,0.999981752444575,0.9999912198798951,0.00021971474701568572,0.00017283123969165785
M5_state_plus_Ocont,rank_gap_l1,0.9999966692289083,0.9999985182412175,43.71713640621501,34.64154412425731
M6_state_plus_Olabel,R_l1,0.8888393339959484,0.9427830523854727,0.8170861177738296,0.5901524051192171
M6_state_plus_Olabel,boundary_dist_l1,0.9012969679702704,0.9493668374685019,0.661677862641245,0.470249133222733
M6_state_plus_Olabel,spread_l1,0.8128897299041162,0.9016041138039087,0.02224875298792733,0.016329882019652874
M6_state_plus_Olabel,rank_gap_l1,0.7655545580303982,0.8749600766356395,11598.4568262173,8024.43901360191
M7_state_plus_Ocont_label,R_l1,0.9999924533063118,0.9999964735880982,0.0067324110367671984,0.005180307250708007
M7_state_plus_Ocont_label,boundary_dist_l1,0.9410186236758641,0.970061511687241,0.5114919573666338,0.3566366268471779
M7_state_plus_Ocont_label,spread_l1,0.9999800617880863,0.9999903720621529,0.00022966772334941844,0.00018339158742273085
M7_state_plus_Ocont_label,rank_gap_l1,0.9999964470475329,0.999998407043833,45.15169017823622,35.82429335954535
M8_state_Ocont_bilinear,R_l1,0.9999621128965694,0.9999811484401738,0.015084744674036237,0.010677513150113099
M8_state_Ocont_bilinear,boundary_dist_l1,0.9723918406473873,0.9860997495006659,0.34994523515116155,0.2386528338930622
