label,token_id,token_ids
eight,8223,[8223]
eleven,45314,[45314]
fifteen,37755,[37755]
five,4330,[4330]
four,3116,[3116]
fourteen,63360,[63360]
nine,11888,[11888]
seven,8254,[8254]
seventeen,82497,[82497]
six,4848,[4848]
sixteen,59139,[59139]
ten,5899,[5899]
thirteen,61759,[61759]
three,2380,[2380]
twelve,30335,[30335]
two,1403,[1403]
