model,control,closure_n,strict_conflict_to_clean,closure_mean_margin_shift,nonclosure_n,nonclosure_top1_changes,nonclosure_top1_change_rate,mean_norm_ratio,max_norm_ratio,all_finite,rate
qwen,guarded,87,17,3.9547413793103448,203,0,0,0.9771552686855712,1.0764451026916504,TRUE,0.19540229885057472
qwen,operator only,87,17,3.806932471264368,203,0,0,0.9773460369274534,1.0789263248443604,TRUE,0.19540229885057472
qwen,precursor only,87,0,0.6975574712643678,203,0,0,1.0000867943106029,1.0020480155944824,TRUE,0
llama,guarded,87,13,0.5958153735632183,203,2,0.0098522167487684,0.986958503065438,1.059103012084961,TRUE,0.14942528735632185
llama,operator only,87,14,0.5054777298850575,203,2,0.0098522167487684,0.986821784808718,1.059103012084961,TRUE,0.16091954022988506
llama,precursor only,87,1,0.0469647988505747,203,0,0,1.0000766828142365,1.0027323961257937,TRUE,0.011494252873563218
gemma,guarded,87,9,1.511584051724138,203,0,0,0.9755872710819902,1.0140501260757446,TRUE,0.10344827586206896
gemma,operator only,87,8,1.481860632183908,203,0,0,0.9755995290032748,1.0132485628128052,TRUE,0.09195402298850575
gemma,precursor only,87,0,0.0987787356321839,203,0,0,0.9999348388869188,1,TRUE,0
